Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"pam.cloud_account.update","This event is triggered after a cloud account, which is used for importing servers into ASA, is updated.","2022.02.0","pam"
"pam.entitlement_sudo.add_to_project","This event is triggered after a sudo entitlement object is added to a project.","2022.02.0","pam"
"pam.entitlement_sudo.create","This event is triggered after a sudo entitlement object is created.","2022.02.0","pam"
"pam.entitlement_sudo.remove","This event is triggered after a sudo entitlement object is removed.","2022.02.0","pam"
"pam.entitlement_sudo.remove_from_project","This event is triggered after a sudo entitlement object is removed from a project.","2022.02.0","pam"
"pam.entitlement_sudo.update","This event is triggered after a sudo entitlement object is updated.","2022.02.0","pam"
"pam.gateway.create","This event is triggered after an ASA gateway is created.","2022.02.0","pam"
"pam.gateway.delete","This event is triggered after an ASA gateway is deleted.","2022.02.0","pam"
"pam.gateway.setup_token.create","This event is triggered after a gateway setup token is created.","2022.02.0","pam"
"pam.gateway.setup_token.delete","This event is triggered after a gateway setup token is deleted.","2022.02.0","pam"
"pam.gateway.setup_token.update","This event is triggered after a gateway setup token is updated.","2022.02.0","pam"
"pam.gateway.update","This event is triggered after settings are updated on an ASA gateway.","2022.02.0","pam"
"pam.gateway_creds.issue","This event is triggered after the gateway issues credentials for a server.","2022.02.0","pam"
"pam.group.bulk_membership_change","This event is triggered after the members belonging to an ASA group were updated in bulk by a SCIM driver.","2022.02.0","pam"
"pam.group.create","This event is triggered after an ASA group is created.","2022.02.0","pam"
"pam.group.delete","This event is triggered after an ASA group is deleted.","2022.02.0","pam"
"pam.incoming_federation.approve","This event is triggered when an ASA team admin from another team has approved a request to federate identities identities from their team to this team. Only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.incoming_federation.request","This event is triggered after an ASA team admin submits a request to federate identities from a different team to their team. This event is only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.member.add","This event is triggered after a user is added to an ASA group.","2022.02.0","pam"
"pam.member.remove","This event is triggered after a user is removed from an ASA group.","2022.02.0","pam"
"pam.offline_disabled_event","This event is triggered after disconnected mode is disabled for a group.","2022.02.0","pam"
"pam.offline_enabled_event","This event is triggered after disconnected mode is enabled for a group.","2022.02.0","pam"
"pam.offline_group.secrets.rotate","This event is triggered after disconnected mode credentials are rotated for a group.","2022.02.0","pam"
"pam.outgoing_federation.approve","This event is triggered when an ASA team admin from this team has approved a request to federate identities from this team to another team. Only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.password.change","This event is triggered after a user password changed. This event is only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.password.reset","This event is triggered after a user password reset request is submitted. This event is only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.permission.change","This event is triggered after group permissions are updated.","2022.02.0","pam"
"pam.preauthorization.create","This event is triggered after a preauthorization is created.","2022.02.0","pam"
"pam.preauthorization.update","This event is triggered after a preauthorization is updated.","2022.02.0","pam"
"pam.project.add_group","This event is triggered after a group is added to a project.","2022.02.0","pam"
"pam.project.create","This event is triggered after a Project is created. For ASA, this event only contains the Project name. For Okta Privileged Access, this event contains the Project name and the associated Resource Group.","2022.02.0","pam"
"pam.project.delete","This event is triggered after a Project is deleted. For ASA, this event only contains the Project name. For Okta Privileged Access, this event contains the Project name and the associated Resource Group.","2022.02.0","pam"
"pam.project.remove_group","This event is triggered after a group is removed from a project.","2022.02.0","pam"
"pam.project.update","This event is triggered after a Project is updated. Only applicable for Okta Privileged Access. This event contains the Project name and the associated Resource Group.","2023.04.0","pam"
"pam.project_group_selector.update","This event is triggered after server selectors for a group assigned to a project are updated.","2022.02.0","pam"
"pam.resource_group.create","This event is triggered after a Resource Group is created. Monitor this event to be notified when new teams in your Okta org begin using Okta Privileged Access. Only applicable for Okta Privileged Access. This event defines when a Resource Administrator has created a new Resource Group to manage resources.","2023.04.0","pam"
"pam.resource_group.delete","This event is triggered after a Resource Group is deleted. Monitor this event to be notified when a team in your Okta org stops managing access to a resource. Only applicable for Okta Privileged Access. This event defines when a Resource Administrator deleted a Resource Group.","2023.04.0","pam"
"pam.resource_group.update","This event is triggered after a Resource Group is updated. Monitor this event to be notified when Resource Group settings change. Only applicable for Okta Privileged Access. This event defines when a Resource Administrator has modified the settings for a Resource Group.","2023.04.0","pam"
"pam.secret.create","This event is triggered when a Secret, such as a password, stored in the Okta Privileged Access Vault is created. Use this event to identify the creation of a Secret. For example, creating a Secret at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret and an Actor. The Actor is the User that created the Secret.","2023.12.0","pam"
"pam.secret.delete","This event is triggered when a Secret, such as a password, stored in the Okta Privileged Access Vault is deleted. Use this event to identify the deletion of an existing Secret. For example, deleting a Secret at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret and an Actor. The Actor is the User that deleted the Secret.","2023.12.0","pam"
"pam.secret.reveal","This event is triggered when the contents of a Secret, such as a password, is revealed to a user. Use this event to identify the access of a Secret. For example, accessing a Secret at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret and an Actor. The Actor is the User that revealed the Secret.","2023.12.0","pam"
"pam.secret.update","This event is triggered when a Secret, such as a password, stored in the Okta Privileged Access Vault is updated. Use this event to identify an update to an existing Secret. For example, updating a Secret at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret and an Actor. The Actor is the User that updated the Secret.","2023.12.0","pam"
"pam.secret_folder.create","This event is triggered after a Secret Folder is created. Secret Folders are containers used to organize and store Secrets. Use this event to identify the creation of a Secret Folder. For example, creating a Secret Folder at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret Folder and an Actor. The Actor is the User that created the Secret Folder.","2023.12.0","pam"
"pam.secret_folder.delete","This event is triggered after a Secret Folder is deleted. Secret Folders are containers used to organize and store Secrets. Use this event to identify the deletion of an existing Secret Folder. For example, deleting a Secret Folder at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret Folder and an Actor. The Actor is the User that deleted the Secret Folder.","2023.12.0","pam"
"pam.secret_folder.update","This event is triggered after a Secret Folder is updated. Secret Folders are containers used to organize and store Secrets. Use this event to identify an update to an existing Secret Folder. For example, updating a Secret Folder at an unusual time or outside of a standard process may be of interest to security analysts. Each event of this type references the name of the related Secret Folder and an Actor. The Actor is the User that updated the Secret Folder.","2023.12.0","pam"
"pam.security_policy.create","This event is triggered after a Security Policy is created. Use this event to determine when Security Administrators create new Security Policies. Only applicable for Okta Privileged Access. This event contains the Principals associated with the Security Policy and the number of rules in the policy.","2023.04.0","pam"
"pam.security_policy.delete","This event is triggered after a Security Policy is deleted. Use this event to indicate that a policy that was previously in place is no longer active and end user access to resources may be changed. Only applicable for Okta Privileged Access. This event contains the Principals associated with the Security Policy and the number of rules in the policy.","2023.04.0","pam"
"pam.security_policy.evaluate","This event is triggered when an operation requires a Security Policy evaluation. Use this event to understand how Security Policies are utilized to control access to resources. Currently, this event is only triggered when a user isn't authorized to perform an operation due to existing Security Policies.","2023.12.0","pam"
"pam.security_policy.update","This event is triggered after a Security Policy is updated. Use this event to determine when Security Administrators update Security Policies and to identify important changes made to policies. Only applicable for Okta Privileged Access. This event contains the Principals associated with the Security Policy and the number of rules in the policy.","2023.04.0","pam"
"pam.server.enroll","This event is triggered after a server running the Okta ASA agent has enrolled with ASA.","2022.02.0","pam"
"pam.server.reassign","This event is triggered after a server is reassigned from one project to another.","2022.02.0","pam"
"pam.server.remove","This event is triggered after a server is removed from the ASA inventory.","2022.02.0","pam"
"pam.server.ssh_login","This event is triggered after a user performs an SSH login to a server.","2022.02.0","pam"
"pam.server_account.discovered","This event is triggered after a server account is first discovered by the Server Agent. Only applicable for Okta Privileged Access. This event contains the name of the discovered account and the associated server.","2023.04.0","pam"
"pam.server_account.password_change.initiated","This event is triggered after a password rotation is requested for a local server account. Use this event to verify that the password settings are being correctly applied to your servers. This event contains the name of the local server account being modified and the associated server.","2023.04.0","pam"
"pam.server_account.password_change.out_of_band","This event is triggered after a server account password is altered via a method other than scheduled rotation. You MUST monitor this event to ensure that unauthorized users are not attempting to reset local server account passwords in an attempt to gain access to servers. Only applicable for Okta Privileged Access. This event contains the modified server account and the associated server.","2023.04.0","pam"
"pam.server_account.password_change.update","This event is triggered after a server reports an attempt to perform a password rotation. The outcome.result field contains either 'SUCCESS' or 'FAILURE' and should be monitored to detect any password rotation errors. Only applicable for Okta Privileged Access. This event contains the name of the local server account, the associated server, and indicates if the rotation was successful.","2023.04.0","pam"
